"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3","3","10u 35V","",""
"2","C4, C22","2",".22u 16V","",""
"3","C5, C6, C9","3","22u 16V","",""
"4","C10","1",".22u","",""
"5","C12","1","3.3n","",""
"6","C13","1","47p","",""
"7","C15","1","1u","",""
"8","C18","1","4.7u Low ESR","",""
"9","C19","1","1000p","",""
"10","C21","1","10000p","",""
"11","C23","1","0.01u","",""
"12","C24","1","1n","",""
"13","CC14","1","0.1u","",""
"14","D1","1","4.7V Zener","",""
"15","D3","1","36V Zener","",""
"16","D4, D6, D7","3","B0540W","",""
"17","D5","1","1N5819HW","",""
"18","J1","1","Header Pins","",""
"19","L1","1","10u","",""
"20","Q1","1","BSC009NE2LS5IATMA1 A (TG2)(1A)(BUCK)","PG-TDSON-8_INF",""
"21","Q2","1","BSC009NE2LS5IATMA1 B (BG2)(1B)(BUCK)","PG-TDSON-8_INF",""
"22","Q3","1","BSC009NE2LS5IATMA1 C (BG1)(2A)(BOOST)","PG-TDSON-8_INF",""
"23","Q4","1","BSC009NE2LS5IATMA1 D (TG1)(2B)(BOOST)","PG-TDSON-8_INF",""
"24","R7","1","10k","",""
"25","R8","1","10","",""
"26","R11","1","30K","",""
"27","R12","1","113K 1%","",""
"28","R13","1","8.06K 1%","",""
"29","R15","1","51K","",""
"30","R19","1","25m 2%","",""
"31","R20","1","12.4K 1%","",""
"32","R23","1","47.5K 1%","",""
"33","R24, R26","2","0","",""
"34","R25","1","1","",""
"35","U1","1","LTC3780EUH-TRPBF","QFN-32_UH_LIT",""
