Designator,Footprint,Quantity,Value,LCSC Part #,MFR Part #,Description
"C1, C2, C11, C12, C13, C3, C39, C40, C41",603,9,0.1u,C91183,CC0603JRX7R9BB104,50V 100nF X7R ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C10,603,1,22u,C159801,CL10A226MQ8NRNE,6.3V 22uF X5R ±20% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C15,1206,1,68p,C440203,GRM31A5C3A680JW01D,1kV 68pF null ±5% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C16,1206,1,3.3n,C2847434,FN31N332J500PXG,50V 3.3nF C0G ±5% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"C18, C31",CP_Elec_8x10,2,220u,C3008507,EMZA350ARA221MHA0G,"220uF 35V 300mA@120Hz ±20% SMD,D8xL10mm Aluminum Electrolytic Capacitors - SMD ROHS"
C22,1206,1,1n,C541590,CC1206FRNPO9BN102,50V 1nF NP0 ±1% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C23,1206,1,.22u,C464977,GRM31C5C1H224JE02L,50V 220nF C0G ±5% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"C24, C26, C28",1206,3,10u 35V,C412612,GMJ316BB7106KLHT,35V 10uF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C25,1206,1,47p,C1916,1206CG470J500NT,50V 47pF C0G ±5% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C27,1206,1,1000p,C717608,TCC1206X7R102K202FT,2kV 1000pF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C29,1206,1,10000p,C55077,1206B103K101NT,100V 10nF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C32,1206,1,0.01u,C296117,1206N103G500CT,50V 10nF NP0 ±2% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C33,1206,1,1u,C85867,GCM31MR71H105KA55L,50V 1uF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"C34, C36, C38",1206,3,22u 16V,C412630,LMK316ABJ226KL-T,10V 22uF X5R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C35,1206,1,0.1u,C97946,GRM31C5C1H104JA01L,50V 100nF C0G ±5% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"C4, C5",603,2,22p,C296053,0603N220F101CT,100V 22pF NP0 ±1% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C6,603,1,100n,C128615,0603B103J500CT,50V 10nF X7R ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"C8, C9",603,2,0.22u,C726561,AC0603KRX7R8BB224,25V 220nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"D1, D2",D_SOD-123,2,B0540W-7-F,C154764,B0540W-7-F,40V 510mV@500mA 500mA SOD-123 Schottky Barrier Diodes (SBD) ROHS
"D10, D9",SMC(DO-214AB),2,B0540W,C110486,B340-13-F,40V 500mV@3A 3A SMC(DO-214AB) Schottky Barrier Diodes (SBD) ROHS
D11,SOD-123,1,36V Zener,C444414,DDZ36-7,±2.5% Single 35.36V~37.19V 310mW 36V SOD-123 Zener Diodes ROHS
"D12, D6",DO-214AA,2,SSB43L-E3/52T,C5338051,DO-214AA,40V 0.45V 5A DO-214AA Schottky Barrier Diodes (SBD) ROHS
