Ref,Val,Package,PosX,PosY,Rot,Side
"C19",".22u 16V","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",128.700000,-73.908300,-90.000000,bottom
"C20",".22u 16V","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",124.000000,-70.800000,90.000000,bottom
"C34","22u 16V","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",174.350000,-49.750000,-90.000000,bottom
"C36","22u 16V","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",169.050000,-49.787500,-90.000000,bottom
"C38","22u 16V","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",171.700000,-49.750000,-90.000000,bottom
"D6","SSB43L-E3/52T","SSB43L-E352T_DIODE_DO214AA_MBRS",164.250000,-122.281500,-90.000000,bottom
"D7","S_DIODE_10A","D_PowerDI-5",142.020000,-54.750000,0.000000,bottom
"D8","S_DIODE_10A","D_PowerDI-5",139.300000,-79.480000,90.000000,bottom
"D9","B0540W","CR_SMA_320-340AE_DIO",128.700000,-68.045800,90.000000,bottom
"D10","B0540W","CR_SMA_320-340AE_DIO",117.350000,-69.300000,180.000000,bottom
"Q1","BSC009NE2LS5IATMA1 A (TG2)(1A)(BUCK)","PG-TDSON-8_INF",134.200000,-53.200000,90.000000,bottom
"Q2","BSC009NE2LS5IATMA1 B (BG2)(1B)(BUCK)","PG-TDSON-8_INF",142.250000,-59.800000,180.000000,bottom
"Q3","BSC009NE2LS5IATMA1 D (TG1)(2B)(BOOST)","PG-TDSON-8_INF",134.245000,-79.654400,-90.000000,bottom
"Q4","BSC009NE2LS5IATMA1 C (BG1)(2A)(BOOST)","PG-TDSON-8_INF",142.150000,-69.700000,180.000000,bottom
"Q5","BSS138","SOT-23",120.000000,-107.087500,-90.000000,bottom
"Q6","BSS138","SOT-23",123.462500,-107.112500,-90.000000,bottom
"R5","0.3m","CSS2H-5930R",73.024179,-83.351680,0.000000,bottom
"R13","25m 2%","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",146.500000,-64.600000,0.000000,bottom
"R14","100 1%","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",149.300000,-68.700000,90.000000,bottom
"R15","100 1%","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",151.600000,-68.650000,90.000000,bottom
"R23","0 DNI","R_0603_1608Metric",174.950000,-132.950000,180.000000,bottom
"R24","4.7K DNI","R_0603_1608Metric",174.950000,-131.390000,0.000000,bottom
"R25","0","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",126.400000,-73.900000,90.000000,bottom
"R26","0","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",121.650000,-73.900000,90.000000,bottom
"R32","0 DNI","R_0603_1608Metric",146.525000,-106.060000,180.000000,bottom
"R33","4.7K DNI","R_0603_1608Metric",146.525000,-107.600000,0.000000,bottom
"R34","0 DNI","R_0603_1608Metric",170.575000,-128.200000,90.000000,bottom
"R35","0","R_0603_1608Metric",169.100000,-128.225000,-90.000000,bottom
"R36","10K","R_0603_1608Metric",120.025000,-104.400000,0.000000,bottom
"R37","10K","R_0603_1608Metric",123.462500,-104.400000,0.000000,bottom
"R38","0","R_0603_1608Metric",119.412500,-110.600000,90.000000,bottom
"R39","0","R_0603_1608Metric",124.062500,-110.600000,90.000000,bottom
"R40","10K","R_0603_1608Metric",120.962500,-110.600000,90.000000,bottom
"R41","10K","R_0603_1608Metric",122.512500,-110.600000,90.000000,bottom
"R52","0","CSS2H-5930R",89.496000,-68.580000,0.000000,bottom
"U2","NP100P04PLG-E1-AY","LTC3780_PRSS0004AL-A_REN",65.974179,-63.300880,180.000000,bottom
"U3","NP100P04PLG-E1-AY","LTC3780_PRSS0004AL-A_REN",55.124179,-66.350880,180.000000,bottom
"U4","NP100P04PLG-E1-AY","LTC3780_PRSS0004AL-A_REN",44.099179,-69.601680,180.000000,bottom
"U5","NP100P04PLG-E1-AY","LTC3780_PRSS0004AL-A_REN",54.874179,-100.752780,0.000000,bottom
"U6","NP100P04PLG-E1-AY","LTC3780_PRSS0004AL-A_REN",43.899179,-97.551680,0.000000,bottom
"U7","NP100P04PLG-E1-AY","LTC3780_PRSS0004AL-A_REN",65.899179,-104.026680,0.000000,bottom
"U12","LM340MPX-5.0/NOPB","SOT-223-3_TabPin2",89.050000,-46.400000,90.000000,bottom
"U13","LM340MPX-5.0/NOPB","SOT-223-3_TabPin2",88.150000,-123.000000,0.000000,bottom
"U14","3.3V NCV1117ST33T3G","SOT-223-3_TabPin2",170.899179,-119.076680,-90.000000,bottom
"U15","LM2596S-5V","TO-263-5_TabPin3",155.925000,-120.750000,-90.000000,bottom
"U17","LM2596S-12V","TO-263-5_TabPin3",162.475000,-101.825000,-90.000000,bottom
"U19","DS18B20+","TO-92L_Inline",108.074179,-82.251680,180.000000,bottom
