Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C34,22u 16V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,174.35,-49.75,-90,bottom
C36,22u 16V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,169.05,-49.7875,-90,bottom
C38,22u 16V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,171.7,-49.75,-90,bottom
D6,SSB43L-E3/52T,SSB43L-E352T_DIODE_DO214AA_MBRS,164.25,-122.2815,-90,bottom
D9,B0540W,CR_SMA_320-340AE_DIO,128.7,-68.0458,90,bottom
D10,B0540W,CR_SMA_320-340AE_DIO,117.35,-69.3,180,bottom
Q5,BSS138,SOT-23,120,-107.0875,-90,bottom
Q6,BSS138,SOT-23,123.4625,-107.1125,-90,bottom
R5,0.3m,CSS2H-5930R,73.024179,-83.35168,0,bottom
R13,25m 2%,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,146.5,-64.6,0,bottom
R14,100 1%,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,149.3,-68.7,90,bottom
R15,100 1%,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,151.6,-68.65,90,bottom
R25,0,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,126.4,-73.9,90,bottom
R26,0,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,121.65,-73.9,90,bottom
R35,0,R_0603_1608Metric,169.1,-128.225,-90,bottom
R36,10K,R_0603_1608Metric,120.025,-104.4,0,bottom
R37,10K,R_0603_1608Metric,123.4625,-104.4,0,bottom
R38,0,R_0603_1608Metric,119.4125,-110.6,90,bottom
R39,0,R_0603_1608Metric,124.0625,-110.6,90,bottom
R40,10K,R_0603_1608Metric,120.9625,-110.6,90,bottom
R41,10K,R_0603_1608Metric,122.5125,-110.6,90,bottom
U12,LM340MPX-5.0/NOPB,SOT-223-3_TabPin2,89.05,-46.4,90,bottom
U13,LM340MPX-5.0/NOPB,SOT-223-3_TabPin2,88.15,-123,0,bottom
